,Ticker,Open,High,Low,Close,Volume
2024-07-29 19:55:00,AAPL,217.3100,217.6500,217.0360,217.1900,6984
2024-07-29 19:50:00,AAPL,217.5500,217.7500,217.0100,217.3050,7690
2024-07-29 19:45:00,AAPL,217.7000,217.8600,217.5100,217.5500,2792
2024-07-29 19:40:00,AAPL,217.8800,217.9500,217.5000,217.6450,1745
2024-07-29 19:35:00,AAPL,217.7500,217.9500,217.7500,217.8500,673
2024-07-29 19:30:00,AAPL,217.7500,217.9500,217.7000,217.7600,2513
2024-07-29 19:25:00,AAPL,217.8100,217.9000,217.7500,217.7500,2451
2024-07-29 19:20:00,AAPL,218.0000,218.0000,217.7240,217.8100,265
2024-07-29 19:15:00,AAPL,217.9900,218.0000,217.7000,217.8100,872
2024-07-29 19:10:00,AAPL,217.8000,218.1900,217.5500,217.8500,1462
2024-07-29 19:05:00,AAPL,218.1850,218.2200,217.5500,217.8000,3942
2024-07-29 19:00:00,AAPL,218.2250,218.3000,218.1500,218.2200,1758
2024-07-29 18:55:00,AAPL,218.1500,218.3000,218.1400,218.2250,2690
2024-07-29 18:50:00,AAPL,218.1240,218.3000,218.1200,218.2250,4534
2024-07-29 18:45:00,AAPL,218.3000,218.3000,218.1200,218.1200,2156
2024-07-29 18:40:00,AAPL,218.2700,218.3000,218.2400,218.2750,565
2024-07-29 18:35:00,AAPL,218.3900,218.3900,218.2500,218.2700,1264
2024-07-29 18:30:00,AAPL,218.3850,218.4400,218.3300,218.3600,338
2024-07-29 18:25:00,AAPL,218.3800,218.4400,218.3300,218.3850,1885
2024-07-29 18:20:00,AAPL,218.3700,218.4400,218.3000,218.4400,1615
2024-07-29 18:15:00,AAPL,218.2800,218.4400,218.2600,218.3700,2108
2024-07-29 18:10:00,AAPL,218.2950,218.3000,218.2600,218.2800,1021
2024-07-29 18:05:00,AAPL,218.2800,218.3200,218.2700,218.2700,316
2024-07-29 18:00:00,AAPL,218.2500,218.3600,218.1900,218.3150,1431
2024-07-29 17:55:00,AAPL,218.1400,218.2600,218.1200,218.1900,527    
2024-07-29 17:50:00,AAPL,218.2500,218.2600,218.1200,218.1200,2109
2024-07-29 17:45:00,AAPL,218.2500,218.2600,218.2200,218.2400,2848
2024-07-29 17:40:00,AAPL,218.3200,218.3400,218.2400,218.2500,1870
2024-07-29 17:35:00,AAPL,218.2950,218.3500,218.0500,218.2500,2028
2024-07-29 17:30:00,AAPL,218.3600,218.3600,218.2400,218.2950,235
2024-07-29 17:25:00,AAPL,218.3000,218.3600,218.2400,218.2800,1619
2024-07-29 17:20:00,AAPL,218.2400,218.3500,218.2400,218.3000,1548
2024-07-29 17:15:00,AAPL,218.3100,218.3580,218.2000,218.2250,3333
2024-07-29 17:10:00,AAPL,218.3800,218.3800,218.2500,218.3100,214
2024-07-29 17:05:00,AAPL,218.3400,218.3800,218.2500,218.3800,1747
2024-07-29 17:00:00,AAPL,218.3800,218.6850,206.3970,218.2400,7043
2024-07-29 16:55:00,AAPL,218.2700,218.3800,218.2500,218.3450,841
2024-07-29 16:50:00,AAPL,218.2600,219.0000,217.7800,218.2700,6596
2024-07-29 16:45:00,AAPL,218.2850,218.3100,218.2400,218.2800,9822
2024-07-29 16:40:00,AAPL,218.2900,218.3200,218.2600,218.2700,911
2024-07-29 16:35:00,AAPL,218.3000,218.3900,218.2400,218.3200,98861
2024-07-29 16:30:00,AAPL,218.3550,218.3900,218.2400,218.3300,8763
2024-07-29 16:25:00,AAPL,218.3200,218.4100,218.3200,218.3200,1209
2024-07-29 16:20:00,AAPL,218.2750,218.3600,218.2400,218.3400,165516
2024-07-29 16:15:00,AAPL,218.1800,218.3600,218.1800,218.2750,3448
2024-07-29 16:10:00,AAPL,218.2100,218.2400,218.0700,218.1800,3743
2024-07-29 16:05:00,AAPL,218.1490,218.3000,218.0500,218.2000,91507
2024-07-29 16:00:00,AAPL,218.2400,218.4500,217.8300,218.1500,9058535
2024-07-29 15:55:00,AAPL,218.3300,218.7000,218.0000,218.2200,1603733
2024-07-29 15:50:00,AAPL,218.7400,218.7500,218.2300,218.3400,741962
2024-07-29 15:45:00,AAPL,219.0950,219.1200,218.6600,218.7300,453512
2024-07-29 15:40:00,AAPL,218.9100,219.1050,218.8100,219.1000,497079
2024-07-29 15:35:00,AAPL,218.5950,218.9100,218.5450,218.9000,414129
2024-07-29 15:30:00,AAPL,218.5900,218.6400,218.4600,218.6000,256783
2024-07-29 15:25:00,AAPL,218.6190,218.6300,218.4400,218.5900,159674
2024-07-29 15:20:00,AAPL,218.5400,218.6900,218.4350,218.6100,251422
2024-07-29 15:15:00,AAPL,218.6500,218.6500,218.4500,218.5300,251690
2024-07-29 15:10:00,AAPL,218.5600,218.7400,218.5400,218.6600,247226
2024-07-29 15:05:00,AAPL,218.6700,218.7500,218.4700,218.5600,305067
2024-07-29 15:00:00,AAPL,218.5600,218.7200,218.3500,218.6550,386348
2024-07-29 14:55:00,AAPL,218.2210,218.6300,218.2100,218.5700,267606
2024-07-29 14:50:00,AAPL,218.3100,218.3600,217.9700,218.2400,352233
2024-07-29 14:45:00,AAPL,218.3100,218.3700,218.1700,218.3100,146610
2024-07-29 14:40:00,AAPL,218.2100,218.4500,218.1800,218.3100,215878
2024-07-29 14:35:00,AAPL,218.3250,218.4400,218.1800,218.2000,205001
2024-07-29 14:30:00,AAPL,218.3400,218.3530,218.0650,218.3300,299395
2024-07-29 14:25:00,AAPL,218.4400,218.5800,218.2710,218.3500,197346
2024-07-29 14:20:00,AAPL,218.6600,218.7100,218.3400,218.4400,277257
2024-07-29 14:15:00,AAPL,218.4550,218.7500,218.3100,218.6600,352733
2024-07-29 14:10:00,AAPL,218.2000,218.4800,218.0700,218.4600,219626
2024-07-29 14:05:00,AAPL,218.2200,218.3900,218.0500,218.1900,290049
2024-07-29 14:00:00,AAPL,218.3700,218.3900,218.1200,218.2100,238130
2024-07-29 13:55:00,AAPL,218.5300,218.6300,218.3210,218.3600,216001
2024-07-29 13:50:00,AAPL,218.8100,218.8250,218.5000,218.5200,235192
2024-07-29 13:45:00,AAPL,218.9000,219.0870,218.7920,218.8000,152100
2024-07-29 13:40:00,AAPL,218.9300,219.0700,218.8500,218.9000,246506
2024-07-29 13:35:00,AAPL,218.7900,218.9700,218.7700,218.9300,159642
2024-07-29 13:30:00,AAPL,218.7000,218.9300,218.5300,218.7800,271027
2024-07-29 13:25:00,AAPL,219.0210,219.0800,218.6600,218.7000,249019
2024-07-29 13:20:00,AAPL,219.0000,219.0700,218.7400,219.0200,270559
2024-07-29 13:15:00,AAPL,218.9500,219.1800,218.6600,219.0200,430360
2024-07-29 13:10:00,AAPL,218.8360,219.2800,218.8200,218.9400,372311
2024-07-29 13:05:00,AAPL,218.9700,219.0000,218.7700,218.8700,225322
2024-07-29 13:00:00,AAPL,218.7900,218.9700,218.7200,218.9450,174982
2024-07-29 12:55:00,AAPL,218.8300,218.8900,218.7000,218.7800,157351
2024-07-29 12:50:00,AAPL,218.7000,218.8500,218.4800,218.8350,167467
2024-07-29 12:45:00,AAPL,218.4900,218.7400,218.4800,218.6900,146589
2024-07-29 12:40:00,AAPL,218.5480,218.7800,218.4100,218.4800,181753
2024-07-29 12:35:00,AAPL,218.4400,218.6000,218.3800,218.5500,179296
2024-07-29 12:30:00,AAPL,218.5500,218.8400,218.3750,218.4440,215056
2024-07-29 12:25:00,AAPL,218.8000,218.8000,218.5100,218.5500,188429
2024-07-29 12:20:00,AAPL,218.8350,218.9600,218.7200,218.8200,265467
2024-07-29 12:15:00,AAPL,218.6500,218.9100,218.5300,218.8400,212303
2024-07-29 12:10:00,AAPL,218.5950,218.8320,218.4860,218.6600,276074
2024-07-29 12:05:00,AAPL,218.3300,218.6800,218.3300,218.5950,402723
2024-07-29 12:00:00,AAPL,218.0400,218.3600,218.0400,218.3180,319172
2024-07-29 11:55:00,AAPL,217.7350,218.0800,217.7200,218.0300,293123
2024-07-29 11:50:00,AAPL,217.6300,217.8020,217.6000,217.7400,265058
2024-07-29 11:45:00,AAPL,217.1200,217.7400,217.0600,217.6200,342924
2024-07-29 11:40:00,AAPL,216.9300,217.2400,216.8500,217.1130,258588
2024-07-29 11:35:00,AAPL,216.7350,217.0100,216.6100,216.9300,268030
2024-07-29 11:30:00,AAPL,217.1100,217.1800,216.6000,216.7390,257056
2024-07-29 11:25:00,AAPL,216.9900,217.1800,216.9300,217.1400,268310
2024-07-29 11:20:00,AAPL,217.0500,217.1500,216.7100,216.9700,259794
2024-07-29 11:15:00,AAPL,216.7650,217.1100,216.6050,217.0200,322470
2024-07-29 11:10:00,AAPL,216.9600,217.0560,216.5100,216.7600,560425
2024-07-29 11:05:00,AAPL,217.1300,217.4200,216.8100,216.9500,533606
2024-07-29 11:00:00,AAPL,217.8300,217.8800,217.1200,217.1300,500092
2024-07-29 10:55:00,AAPL,217.6700,218.0100,217.5600,217.8150,323986
2024-07-29 10:50:00,AAPL,217.8900,218.0800,217.6400,217.6700,456733
2024-07-29 10:45:00,AAPL,218.2400,218.6050,217.8600,217.9000,396702
2024-07-29 10:40:00,AAPL,218.3000,218.7000,218.1450,218.2400,600230
