Date,Product,Price,Zipcode
2023-11-02,Xylitol,33.73,11282
2024-06-25,Quinoa,11.08,13618
2023-12-26,Tomatoes,53.74,13363
2024-01-14,Apples,43.9,14728
2024-04-10,Milk,93.46,10094
2024-05-27,Rice,26.36,14319
2024-01-25,Detergent,91.21,13130
2023-10-25,Eggs,13.38,12676
2023-08-22,Eggs,67.18,13555
2023-08-15,Oranges,18.15,12775
2023-09-06,Zucchini,13.09,11021
2023-07-30,Yogurt,19.83,13503
2023-12-19,Flour,84.86,10097
2024-01-26,Yogurt,93.71,12513
2023-08-12,Ice Cream,94.95,13793
2024-06-04,Nuts,16.77,13073
2023-09-07,Juice,48.31,13592
2024-03-19,Milk,45.3,10338
2024-01-24,Lettuce,85.47,10941
2024-02-17,Vinegar,38.8,14152
2024-02-23,Pasta,47.79,11315
2023-11-01,Eggs,34.38,11063
2024-06-10,Water,92.58,13157
2024-02-29,Grapes,43.27,12862
2023-11-13,Bananas,20.58,12877
2023-11-16,Grapes,4.55,12283
2024-03-03,Lettuce,11.67,11244
2023-09-27,Flour,79.25,12867
2024-06-29,Tomatoes,57.76,14221
2023-12-13,Vinegar,75.78,14668
2024-01-25,Grapes,64.26,11042
2024-03-25,Pasta,8.76,14181
2023-09-12,Zucchini,22.95,14025
2024-05-08,Water,1.47,11541
2024-02-24,Eggs,29.61,11535
2024-02-12,Water,1.54,12538
2024-04-07,Water,46.53,14020
2024-04-25,Vinegar,75.07,14667
2023-08-21,Kale,18.51,14879
2023-12-30,Yogurt,65.64,11256
2024-04-24,Yogurt,54.74,11083
2024-07-16,Oranges,34.04,11162
2024-06-22,Lettuce,42.9,13639
2024-01-13,Zucchini,24.2,14848
2024-05-15,Lettuce,13.33,12132
2023-12-16,Nuts,82.96,10732
2023-10-26,Carrots,7.91,11814
2024-02-05,Xylitol,12.08,14547
2024-03-21,Sugar,54.74,13751
2024-02-18,Tomatoes,37.98,12874
2023-09-10,Nuts,27.24,12434
2024-04-02,Oranges,39.98,11233
2023-11-01,Detergent,6.94,11913
2024-02-18,Milk,52.98,11581
2024-02-28,Water,91.48,11480
2023-11-07,Juice,1.89,10313
2023-08-04,Vinegar,23.15,11060
2024-01-06,Milk,87.23,13309
2023-11-07,Xylitol,74.93,12585
2024-04-08,Grapes,16.56,14307
2024-04-27,Nuts,72.72,14369
2023-11-01,Kale,21.79,11452
2023-09-29,Zucchini,28.27,13846
2023-09-26,Zucchini,43.62,12303
2023-09-05,Grapes,44.34,11791
2024-07-13,Juice,73.37,10311
2024-04-20,Udon,33.61,11853
2023-07-17,Lettuce,17.86,10639
2024-05-07,Zucchini,33.17,14551
2023-12-25,Ice Cream,27.86,13438
2023-10-19,Water,50.46,13128
2023-09-08,Carrots,48.39,10192
2024-07-11,Apples,6.46,11785
2024-05-02,Udon,95.82,13911
2024-06-02,Kale,49.52,12208
2023-08-31,Tomatoes,47.84,11332
2023-08-11,Carrots,9.98,11649
2024-02-28,Eggs,94.23,11645
2024-02-02,Water,6.26,13235
2024-03-16,Zucchini,77.95,11642
2024-03-25,Xylitol,3.36,12105
2024-06-29,Pasta,86.89,10198
2024-07-11,Ice Cream,8.41,14499
2024-07-08,Detergent,68.25,12935
2023-10-24,Oranges,97.79,10889
2024-02-08,Udon,90.22,11327
2024-03-17,Udon,62.65,13241
2024-02-09,Tomatoes,26.96,14160
2024-03-28,Xylitol,83.42,13685
2024-06-03,Sugar,40.74,13549
2024-01-23,Nuts,3.84,10562
2023-12-05,Yogurt,94.44,14142
2023-10-14,Ice Cream,68.27,11130
2023-11-03,Nuts,80.39,12907
2024-02-12,Nuts,6.24,13796
2023-10-06,Ice Cream,26.23,11202
2024-06-05,Rice,76.09,13810
2024-07-06,Pasta,37.77,10417
2023-10-06,Pasta,94.71,10941
2024-04-29,Carrots,8.17,14669
2024-07-04,Honey,9.53,12165
2023-07-26,Lettuce,24.7,11928
2024-06-07,Lettuce,23.43,11928
2023-08-21,Yogurt,69.24,11299
2024-01-19,Milk,15.43,14282
2023-09-25,Nuts,73.48,11970
2023-10-21,Tomatoes,58.11,11846
2023-08-14,Water,81.96,13925
2024-02-20,Detergent,53.44,11082
2023-10-15,Kale,86.82,10121
2023-11-30,Detergent,38.74,12359
2024-03-21,Rice,64.94,14215
2024-02-23,Honey,16.17,12285
2024-04-26,Eggs,14.07,14586
2024-05-19,Ice Cream,81.13,10112
2023-10-16,Zucchini,38.01,12673
2023-12-09,Tomatoes,83.01,13490
2024-06-21,Vinegar,32.8,13838
2023-09-27,Honey,51.11,12806
2023-08-11,Juice,51.33,12352
2024-02-15,Detergent,97.24,13517
2023-08-09,Bananas,70.66,12876
2023-10-19,Detergent,3.01,13426
2024-05-08,Milk,50.3,11750
2024-03-28,Zucchini,20.92,11237
2023-10-23,Zucchini,64.85,11429
2024-03-21,Sugar,27.11,13804
2024-05-04,Milk,38.21,10991
2023-11-25,Carrots,86.75,11568
2024-05-08,Pasta,26.2,12765
2024-02-09,Juice,95.02,14747
2023-09-12,Kale,75.39,10421
2023-07-30,Honey,15.1,10363
2024-02-04,Oranges,72.33,12982
2024-06-19,Rice,94.49,10099
2023-11-29,Carrots,95.44,12602
2024-03-14,Bananas,2.39,11078
2024-01-05,Apples,16.0,13124
2023-09-01,Bananas,23.79,12407
2024-05-16,Pasta,68.63,12560
2023-09-23,Juice,68.4,14256
2024-07-03,Oranges,82.12,10377
2024-07-10,Udon,63.38,14548
2023-08-10,Pasta,87.18,14682
2023-07-21,Lettuce,80.94,13097
